TIMESTAMP,DEVICE_ID,USER_ID,RAW_INTENSITY,STEPS,RAW_KIND,HEART_RATE
1615739160,1,1,15,0,80,64
1615739220,1,1,12,0,80,65
1615739280,1,1,0,0,90,67
1615739340,1,1,18,0,80,73
1615739400,1,1,11,0,80,69
1615739460,1,1,35,0,80,73
1615739520,1,1,6,0,80,71
1615739580,1,1,60,16,1,65
1615739640,1,1,68,11,80,65
1615739700,1,1,49,0,80,89
1615739760,1,1,62,7,80,100
1615739820,1,1,12,0,96,255
1615739880,1,1,28,0,96,87
1615739940,1,1,14,0,80,74
1615740000,1,1,20,0,80,70
1615740060,1,1,29,0,80,79
1615740120,1,1,50,0,80,71
1615740180,1,1,25,0,80,80
1615740240,1,1,26,0,80,74
1615740300,1,1,15,0,80,87
1615740360,1,1,19,0,80,84
1615740420,1,1,2,0,96,75
1615740480,1,1,6,0,96,68
1615740540,1,1,14,0,80,100
1615740600,1,1,29,0,80,80
1615740660,1,1,29,0,80,75
1615740720,1,1,10,0,80,74
1615740780,1,1,23,0,80,91
1615740889,1,1,-1,0,1,0
1615740890,1,1,-1,0,1,-1
1615740891,1,1,-1,0,1,-1
1615740892,1,1,-1,0,1,-1
1615740893,1,1,-1,0,1,-1
1615740894,1,1,-1,0,1,-1
1615740895,1,1,-1,0,1,-1
1615740896,1,1,-1,0,1,-1
1615740897,1,1,-1,0,1,-1
1615740898,1,1,-1,0,1,-1
1615740899,1,1,-1,0,1,-1
1615740911,1,1,-1,0,1,-1
1615740912,1,1,-1,0,1,-1
1615740913,1,1,-1,0,1,-1
1615740914,1,1,-1,0,1,-1
1615740915,1,1,-1,0,1,-1
1615740916,1,1,-1,0,1,-1
1615740917,1,1,-1,0,1,-1
1615740918,1,1,-1,0,1,-1
1615740936,1,1,-1,0,1,-1
1615740947,1,1,-1,0,1,-1
1615740948,1,1,-1,0,1,-1
1615740949,1,1,-1,0,1,-1
1615740950,1,1,-1,0,1,-1
1615740951,1,1,-1,0,1,-1
1615740952,1,1,-1,0,1,-1
1615740953,1,1,-1,0,1,-1
1615740954,1,1,-1,0,1,-1
1615740955,1,1,-1,0,1,-1
1615740956,1,1,-1,0,1,-1
1615740957,1,1,-1,0,1,-1
1615740958,1,1,-1,0,1,-1
1615740959,1,1,-1,0,1,-1
1615740960,1,1,-1,0,1,-1
1615740961,1,1,-1,0,1,-1
1615740962,1,1,-1,0,1,-1
1615740963,1,1,-1,0,1,-1
1615740964,1,1,-1,0,1,100
1615740965,1,1,-1,0,1,-1
1615740966,1,1,-1,0,1,99
1615740967,1,1,-1,0,1,-1
1615740968,1,1,-1,0,1,-1
1615740969,1,1,-1,0,1,100
1615740970,1,1,-1,0,1,-1
1615740971,1,1,-1,0,1,101
1615740972,1,1,-1,0,1,103
1615740973,1,1,-1,0,1,-1
1615740974,1,1,-1,0,1,108
1615740975,1,1,-1,0,1,109
1615740976,1,1,-1,0,1,108
1615740977,1,1,-1,0,1,106
1615740978,1,1,-1,0,1,-1
1615740979,1,1,-1,0,1,-1
1615740980,1,1,-1,0,1,105
1615740981,1,1,-1,0,1,106
1615740982,1,1,-1,0,1,105
1615740983,1,1,-1,0,1,104
1615740984,1,1,-1,0,1,103
1615740985,1,1,-1,0,1,-1
1615740986,1,1,-1,0,1,97
1615740987,1,1,-1,0,1,94
1615740988,1,1,-1,0,1,92
1615740989,1,1,-1,0,1,91
1615740990,1,1,-1,0,1,-1
1615740991,1,1,-1,0,1,-1
1615740992,1,1,-1,0,1,89
1615740993,1,1,-1,0,1,-1
1615740994,1,1,-1,0,1,88
