date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-02-23,1614139210,0,0,0,1613932200,1613932200
2021-02-24,1614225040,65,347,0,1614107940,1614136320
2021-02-25,1614225165,72,357,3,1614193080,1614222960
