type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
6,1605684189,2394,1.5361934,0.7615394,1729.0,1.384,142.0
6,1605677401,1683,1.2914437,0.7615392,1246.0,1.35,111.0
